,city,state,status,lastUpdated,queryTime
0,ABINGTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
1,AGAWAM,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
2,ALLSTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
3,AMHERST,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
4,ARLINGTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
5,ASHLAND,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
6,ATTLEBORO,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
7,BEDFORD,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
8,BELCHERTOWN,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
9,BELMONT,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
10,BILLERICA,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
11,BOSTON,MA,Fully Booked,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
12,BOURNE,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
13,BRAINTREE,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
14,BRIGHTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
15,BROCKTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
16,BROOKLINE,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
17,BURLINGTON,MA,Available,2021-03-12T14:57:19.340,2021-03-12 22:13:05.171919
